상품코드,자체 상품코드,진열상태,판매상태,상품분류 번호,상품분류 신상품영역,상품분류 추천상품영역,상품명,영문 상품명,상품명(관리용),공급사 상품명,모델명,상품 요약설명,상품 간략설명,상품 상세설명,모바일 상품 상세설명 설정,모바일 상품 상세설명,검색어설정,과세구분,소비자가,공급가,상품가,판매가,판매가 대체문구 사용,판매가 대체문구,주문수량 제한 기준,최소 주문수량(이상),최대 주문수량(이하),적립금,적립금 구분,공통이벤트 정보,성인인증,옵션사용,품목 구성방식,옵션 표시방식,옵션세트명,옵션입력,옵션 스타일,버튼이미지 설정,색상 설정,필수여부,품절표시 문구,추가입력옵션,추가입력옵션 명칭,추가입력옵션 선택/필수여부,입력글자수(자),이미지등록(상세),이미지등록(목록),이미지등록(작은목록),이미지등록(축소),이미지등록(추가),제조사,공급사,브랜드,트렌드,자체분류 코드,제조일자,출시일자,유효기간 사용여부,유효기간,원산지,상품부피(cm),상품결제안내,상품배송안내,교환/반품안내,서비스문의/안내,배송정보,배송방법,국내/해외배송,배송지역,배송비 선결제 설정,배송기간,배송비 구분,배송비입력,스토어픽업 설정,상품 전체중량(kg),HS코드,상품 구분(해외통관),상품소재,영문 상품소재(해외통관),옷감(해외통관),검색엔진최적화(SEO) 검색엔진 노출 설정,검색엔진최적화(SEO) Title,검색엔진최적화(SEO) Author,검색엔진최적화(SEO) Description,검색엔진최적화(SEO) Keywords,검색엔진최적화(SEO) 상품 이미지 Alt 텍스트,개별결제수단설정,상품배송유형 코드,메모
,,Y,Y,,,,현대 더뉴싼타페 RGB LED풋등 17cm 36LED (USB형 시거잭형),,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	 <p align=""center""> <img src=""http://kapoka.godohosting.com/footled/SoundBar17cm.jpg""></p><br>

<iframe width=""920"" height=""518"" src=""https://www.youtube.com/embed/D6mCE5ZpFbc"" title=""차량용 RGB LED풋등 17cm 36LED"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe>


<iframe width=""920"" height=""518"" src=""https://www.youtube.com/embed/AlzUdnj_-cc"" title=""차량용 RGB LED풋등 17cm"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	 <p align=""center""> <img src=""http://kapoka.godohosting.com/footled/SoundBar17cm.jpg""></p><br>

<iframe width=""920"" height=""518"" src=""https://www.youtube.com/embed/D6mCE5ZpFbc"" title=""차량용 RGB LED풋등 17cm 36LED"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe>


<iframe width=""920"" height=""518"" src=""https://www.youtube.com/embed/AlzUdnj_-cc"" title=""차량용 RGB LED풋등 17cm"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe></td></tr></tbody></table>
	",,,,6000,,8400.0,,,,,,,,,N,Y,T,S,,옵션{K872 USB형|K872 시거잭형},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1666856368833m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1666856368833m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1666856368833m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1666856368833m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,현대 스타리아 RGB LED풋등 17cm 36LED (USB형 시거잭형),,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	 <p align=""center""> <img src=""http://kapoka.godohosting.com/footled/SoundBar17cm.jpg""></p><br>

<iframe width=""920"" height=""518"" src=""https://www.youtube.com/embed/D6mCE5ZpFbc"" title=""차량용 RGB LED풋등 17cm 36LED"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe>


<iframe width=""920"" height=""518"" src=""https://www.youtube.com/embed/AlzUdnj_-cc"" title=""차량용 RGB LED풋등 17cm"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	 <p align=""center""> <img src=""http://kapoka.godohosting.com/footled/SoundBar17cm.jpg""></p><br>

<iframe width=""920"" height=""518"" src=""https://www.youtube.com/embed/D6mCE5ZpFbc"" title=""차량용 RGB LED풋등 17cm 36LED"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe>


<iframe width=""920"" height=""518"" src=""https://www.youtube.com/embed/AlzUdnj_-cc"" title=""차량용 RGB LED풋등 17cm"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe></td></tr></tbody></table>
	",,,,6000,,8400.0,,,,,,,,,N,Y,T,S,,옵션{K871 USB형|K871 시거잭형},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/166685621125m0.jpg,https://www.kapoka.co.kr/shop/data/goods/166685621125m0.jpg,https://www.kapoka.co.kr/shop/data/goods/166685621125m0.jpg,https://www.kapoka.co.kr/shop/data/goods/166685621125m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,차량용 RGB LED풋등 17cm 36LED (USB형 시거잭형),,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	
 <p align=""center""> <img src=""http://kapoka.godohosting.com/footled/SoundBar17cm.jpg""></p><br>

<iframe width=""920"" height=""518"" src=""https://www.youtube.com/embed/D6mCE5ZpFbc"" title=""차량용 RGB LED풋등 17cm 36LED"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe>


<iframe width=""920"" height=""518"" src=""https://www.youtube.com/embed/AlzUdnj_-cc"" title=""차량용 RGB LED풋등 17cm"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	
 <p align=""center""> <img src=""http://kapoka.godohosting.com/footled/SoundBar17cm.jpg""></p><br>

<iframe width=""920"" height=""518"" src=""https://www.youtube.com/embed/D6mCE5ZpFbc"" title=""차량용 RGB LED풋등 17cm 36LED"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe>


<iframe width=""920"" height=""518"" src=""https://www.youtube.com/embed/AlzUdnj_-cc"" title=""차량용 RGB LED풋등 17cm"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe></td></tr></tbody></table>
	",,,,6000,,8400.0,,,,,,,,,N,Y,T,S,,옵션{K859 USB형|K859 시거잭형},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1664343815194m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1664343815194m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1664343815194m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1664343815194m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,USB 스위치형 LED 자석램프 스탠드 3W/5W (순백색/주백색) 차량용 가정용 캠핑 차박용,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/ledbar/LEDminimood.jpg""></p><br>

<p align=""center"">
<iframe width=""1180"" height=""664"" src=""https://www.youtube.com/embed/UylMxL0fRrY"" title=""USB 스위치형 LED 자석램프 스탠드3W/5W"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe></p>
<p align=""center"">
<iframe width=""1180"" height=""664"" src=""https://www.youtube.com/embed/FLBNzDkQ0O4"" title=""USB 스위치형 LED 자석램프 스탠드"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe></p></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/ledbar/LEDminimood.jpg""></p><br>

<p align=""center"">
<iframe width=""1180"" height=""664"" src=""https://www.youtube.com/embed/UylMxL0fRrY"" title=""USB 스위치형 LED 자석램프 스탠드3W/5W"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe></p>
<p align=""center"">
<iframe width=""1180"" height=""664"" src=""https://www.youtube.com/embed/FLBNzDkQ0O4"" title=""USB 스위치형 LED 자석램프 스탠드"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe></p></td></tr></tbody></table>
	",,,,6200,,8680.0,,,,,,,,,N,Y,T,S,,옵션{K857 주백색(약간노란빛)},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1663576326251m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1663576326251m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1663576326251m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1663576326251m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,USB 선셋 LED라이트 무드등 가정용 인스타 노래방 클럽,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/ledbar/LEDmood_club.jpg""></p><br>

<iframe width=""1280"" height=""720"" src=""https://www.youtube.com/embed/HmOI0lq3VXo"" title=""USB 가정용 인스타 노래방 클럽용 선셋 LED라이트 무드등"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe>


<iframe width=""1280"" height=""720"" src=""https://www.youtube.com/embed/sBxJeIiIWSc"" title=""USB 가정용 인스타 노래방 클럽용 선셋 LED라이트 무드등"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/ledbar/LEDmood_club.jpg""></p><br>

<iframe width=""1280"" height=""720"" src=""https://www.youtube.com/embed/HmOI0lq3VXo"" title=""USB 가정용 인스타 노래방 클럽용 선셋 LED라이트 무드등"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe>


<iframe width=""1280"" height=""720"" src=""https://www.youtube.com/embed/sBxJeIiIWSc"" title=""USB 가정용 인스타 노래방 클럽용 선셋 LED라이트 무드등"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe></td></tr></tbody></table>
	",,,,4000,,5600.0,,,,,,,,,N,Y,T,S,,"옵션{K853 미러볼형|K853 원조명형 (3,500원)}",,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1662107879604m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1662107879604m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1662107879604m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1662107879604m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,(1+1+1) 초강력 나노양면테이프 (2mm 두께) 강력 겔 투명 무중력 접착 나노 실리콘,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/PLUS/Nano_Double-sided_tape111.jpg""></p><br>

</td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/PLUS/Nano_Double-sided_tape111.jpg""></p><br>

</td></tr></tbody></table>
	",,,,7500,,10500.0,,,,,,,,,N,Y,T,S,,옵션{K850},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1661244031405m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1661244031405m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1661244031405m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1661244031405m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,욕실 화장실 곰팡이 화이트색상 방지 테이프 방수밴드 (개당판매),,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/PLUS/tape_white_one.jpg""></p><br>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/RCUznbnXga0?si=0G9bZ-72ODBfX_rs"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>
</p><br>
</td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/PLUS/tape_white_one.jpg""></p><br>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/RCUznbnXga0?si=0G9bZ-72ODBfX_rs"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>
</p><br>
</td></tr></tbody></table>
	",,,,800,,1120.0,,,,,,,,,N,Y,T,S,,"옵션{K1946 화이트방수밴드22mm|K1946 화이트방수밴드38mm (1,000원)}",,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1718613167905m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1718613167905m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1718613167905m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1718613167905m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,차량용 LED식빵등 무선 컨트롤러 모듈,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/module/RF_Wireless.jpg""></p><br>

<p align=""center"">
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/KsXcYDgjrUo"" title=""USB 스위치형 LED 자석램프 스탠드3W/5W"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe></p>


</td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/module/RF_Wireless.jpg""></p><br>

<p align=""center"">
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/KsXcYDgjrUo"" title=""USB 스위치형 LED 자석램프 스탠드3W/5W"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe></p>


</td></tr></tbody></table>
	",,,,4000,,5600.0,,,,,,,,,N,Y,T,S,,옵션{K1496},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1694957407306m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1694957407306m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1694957407306m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1694957407306m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,캠핑카 차박용 조명 랜턴 자석 스위치형 USB LED 캠핑용품 차박용품,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/ledbar/LED_Switch.jpg""></p><br>

<p align=""center"">
<iframe width=""1180"" height=""664"" src=""https://www.youtube.com/embed/UylMxL0fRrY"" title=""USB 스위치형 LED 자석램프 스탠드3W/5W"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe></p>
<p align=""center"">
<iframe width=""1180"" height=""664"" src=""https://www.youtube.com/embed/FLBNzDkQ0O4"" title=""USB 스위치형 LED 자석램프 스탠드"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe></p></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/ledbar/LED_Switch.jpg""></p><br>

<p align=""center"">
<iframe width=""1180"" height=""664"" src=""https://www.youtube.com/embed/UylMxL0fRrY"" title=""USB 스위치형 LED 자석램프 스탠드3W/5W"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe></p>
<p align=""center"">
<iframe width=""1180"" height=""664"" src=""https://www.youtube.com/embed/FLBNzDkQ0O4"" title=""USB 스위치형 LED 자석램프 스탠드"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe></p></td></tr></tbody></table>
	",,,,5800,,8119.999999999999,,,,,,,,,N,Y,T,S,,옵션{K1490 순백색(하얀빛)|K1490 주백색(약간노란빛)},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1694948488419m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1694948488419m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1694948488419m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1694948488419m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,욕실 화장실1+1 곰팡이 방지테이프 방수밴드(3.2m),,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/PLUS/bathroom_tape.jpg""></p><br>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/RCUznbnXga0?si=0G9bZ-72ODBfX_rs"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>
</p><br>
</td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/PLUS/bathroom_tape.jpg""></p><br>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/RCUznbnXga0?si=0G9bZ-72ODBfX_rs"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>
</p><br>
</td></tr></tbody></table>
	",,,,1500,,2100.0,,,,,,,,,N,Y,T,S,,"옵션{K1470 22mmx3.2M(1+1)/화이트|K1470 22mmx3.2M(1+1)/스킨|K1470 22mmx3.2M(1+1)/핑크|K1470 22mmx3.2M(1+1)/그린|K1470 22mmx3.2M(1+1)/스카이블루|K1470 22mmx3.2M(1+1)/브라운|K1470 22mmx3.2M(1+1)/그레이|K1470 38mmx3.2M(1+1)/화이트 (2,500원)|K1470 38mmx3.2M(1+1)/스킨 (2,500원)|K1470 38mmx3.2M(1+1)/핑크 (2,500원)|K1470 38mmx3.2M(1+1)/그린 (2,500원)|K1470 38mmx3.2M(1+1)/스카이블루 (2,500원)|K1470 38mmx3.2M(1+1)/브라운 (2,500원)|K1470 38mmx3.2M(1+1)/그레이 (2,500원)}",,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1693547143226m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1693547143226m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1693547143226m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1693547143226m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,자동차 트럭 화물차 대형 버스 보조미러 블랙무광 테두리 개당판매 (105mm x 140mm),,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/mirror/BlackEdition_Bus.jpg""></p><br></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/mirror/BlackEdition_Bus.jpg""></p><br></td></tr></tbody></table>
	",,,,3300,,4620.0,,,,,,,,,N,Y,T,S,,옵션{K1444},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1693125113469m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1693125113469m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1693125113469m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1693125113469m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,나노양면테이프 8mm x 1M 5M (1T두께) LED바 식빵등바 DIY용,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/PLUS/Tape_LEDbar.jpg""></p><br>


</td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/PLUS/Tape_LEDbar.jpg""></p><br>


</td></tr></tbody></table>
	",,,,500,,700.0,,,,,,,,,N,Y,T,S,,"옵션{K1330 8mm 1M (1T두께)|K1330 8mm 5M (1T두께) (1,100원)}",,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1691155758927m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1691155758927m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1691155758927m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1691155758927m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,소형 고무롤러 60mm 테이프 작업용,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/roller.jpg""></p>
</td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/roller.jpg""></p>
</td></tr></tbody></table>
	",,,,950,,1330.0,,,,,,,,,N,Y,T,S,,옵션{K1246},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1689649949707m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1689649949707m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1689649949707m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1689649949707m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,자동차 12-24v 용 전기배선/ 1M단위연장판매 12mm AWG24,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/wiring.jpg""></p>
</td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/wiring.jpg""></p>
</td></tr></tbody></table>
	",,,,600,,840.0,,,,,,,,,N,Y,T,S,,옵션{K1245},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/168964979184m0.jpg,https://www.kapoka.co.kr/shop/data/goods/168964979184m0.jpg,https://www.kapoka.co.kr/shop/data/goods/168964979184m0.jpg,https://www.kapoka.co.kr/shop/data/goods/168964979184m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
